STOCK,CODE
ABCAPITAL,ABCAPITAL.NS
AEGISCHEM,AEGISCHEM.NS
AJANTPHARM,AJANTPHARM.NS
APARINDS,APARINDS.NS
CENTURYPLY,CENTURYPLY.NS
CGPOWER,CGPOWER.NS
CHAMBLFERT,CHAMBLFERT.NS
COCHINSHIP,COCHINSHIP.NS
DEVYANI,DEVYANI.NS
DMART,DMART.NS
GRANULES,GRANULES.NS
HEROMOTOCO,HEROMOTOCO.NS
INDIACEM,INDIACEM.NS
JINDALSTEL,JINDALSTEL.NS
JSWSTEEL,JSWSTEEL.NS
KPITTECH,KPITTECH.NS
KPRMILL,KPRMILL.NS
LT,LT.NS
MAPMYINDIA,MAPMYINDIA.NS
METROBRAND,METROBRAND.NS
NGLFINE,NGLFINE.NS
NTPC,NTPC.NS
PEL,PEL.NS
PERSISTENT,PERSISTENT.NS
PRESTIGE,PRESTIGE.NS
SONATSOFTW,SONATSOFTW.NS
TATAINVEST,TATAINVEST.NS
THERMAX,THERMAX.NS
TIINDIA,TIINDIA.NS
TRENT,TRENT.NS
